customer_id_old,source_id_old,customer_id_new,source_id_new
cus_TyWBgfPY5uvPXZ,,cus_TyWBgfPY5uvPXZ,
cus_TU5DXm91s0MfMj,,cus_TU5DXm91s0MfMj,
cus_U2Fc3ZZ1X91Hzx,,cus_U2Fc3ZZ1X91Hzx,
cus_U7rDQssJmE7fc5,,cus_U7rDQssJmE7fc5,
cus_Txhi73PUIpT4O0,,cus_Txhi73PUIpT4O0,
cus_TeE3lDjEPEucpo,,cus_TeE3lDjEPEucpo,
cus_TW52VpBckBxYHM,,cus_TW52VpBckBxYHM,
cus_TTohPirPBKHqFq,,cus_TTohPirPBKHqFq,
cus_U8CLiSiysk2Js6,,cus_U8CLiSiysk2Js6,
cus_TOzLxHucmbWAFi,,cus_TOzLxHucmbWAFi,
cus_TnZs8RvtZ8gEkH,card_1SpyiWG169MUOFIq0uP88wxc,cus_TnZs8RvtZ8gEkH,card_1TGpqxLfpHJZVq4IEEUxB399
cus_TRQHyAzILTeGQG,pm_1SUXRdG169MUOFIqIr1ocIXO,cus_TRQHyAzILTeGQG,pm_1TGpqwLfpHJZVq4IFfWSf8dT
cus_UA1L5exc3V4ERL,card_1TBhJFG169MUOFIqL6oskADy,cus_UA1L5exc3V4ERL,card_1TGpqwLfpHJZVq4ImAmum5Ru
cus_U6xQpUBClmqAbo,pm_1T8jXFG169MUOFIq1T4FLMlk,cus_U6xQpUBClmqAbo,pm_1TGpqvLfpHJZVq4IuqnDCN15
cus_U6xQpUBClmqAbo,pm_1T8jsXG169MUOFIqeQ6eZbcF,cus_U6xQpUBClmqAbo,pm_1TGpqvLfpHJZVq4IZUmoHzp4
cus_U6xQpUBClmqAbo,pm_1T8jtnG169MUOFIqlGklu2IB,cus_U6xQpUBClmqAbo,pm_1TGpqvLfpHJZVq4IhFFXSApR
cus_TnCHZKJaHnr9cA,card_1T6cONG169MUOFIq7rx0oMPn,cus_TnCHZKJaHnr9cA,card_1TGpquLfpHJZVq4IEblXNWPE
cus_TjrA22o7XJjxys,pm_1SmNSRG169MUOFIqLB9bscvJ,cus_TjrA22o7XJjxys,pm_1TGpqtLfpHJZVq4Ijiq5jd6P
cus_Ta6HYh9HT3Eze5,pm_1Scw59G169MUOFIqdptI25p1,cus_Ta6HYh9HT3Eze5,pm_1TGpqtLfpHJZVq4IYm56JGrL
cus_TswlBwFhxcPBlb,pm_1T0fNoG169MUOFIqB7PcfQhR,cus_TswlBwFhxcPBlb,pm_1TGpqsLfpHJZVq4IXV9nqI4o
cus_TQPjNSNSrBXkUp,card_1T0anIG169MUOFIqPkPoUvH4,cus_TQPjNSNSrBXkUp,card_1TGpqrLfpHJZVq4Isqo9KxIZ
cus_TrdqdbyrlM7sBs,pm_1StuZBG169MUOFIqGf8u4bY2,cus_TrdqdbyrlM7sBs,pm_1TGpqrLfpHJZVq4IxIuJczyF
cus_Tig4Cgc3SIheB7,card_1SlEijG169MUOFIqyVanMoy5,cus_Tig4Cgc3SIheB7,card_1TGpqqLfpHJZVq4I0oZsn2Lz
